al0:                        1.117587e-08
al1:                        7.450581e-09
al2:                        -5.960464e-08
al3:                        -5.960464e-08
b0:                         90112.000000
b1:                         16384.000000
b2:                         -196608.000000
b3:                         -65536.000000
a0                          -0.000000
a1                          -0.000000
dtls                        15.000000
tot                         233472.000000
WNt                         245.000000
WNlsf                       232.000000
DN                          4.000000
dtlsf                       15.000000
